E_type,Voltage (V),Specific surface area (m2/g),IDIG_ratio,N-doped (at%),O-doped (at%),Current density (A/g),Capacitance (F/g)
3,1,2795,0.84,0.95,7.1,8,261
3,1,3003,0.86,1.7,5.79,8,308
3,1,2385,0.8,0,8.3,10,211
3,1,2795,0.84,0.95,7.1,10,257
3,1,3003,0.86,1.7,5.79,10,305
3,0.9,2335,1,1.1,11,0.5,315
3,0.9,2335,1,1.1,11,1,284
3,0.9,2335,1,1.1,11,2,245
3,0.9,2335,1,1.1,11,5,220
3,0.9,2335,1,1.1,11,10,205
2,1,679,0.83,0,0,1,306
2,1,679,0.83,0,0,2,289
2,1,679,0.83,0,0,5,274
2,1,679,0.83,0,0,8,266
2,1,679,0.83,0,0,10,262
2,1,679,0.83,0,0,15,243
2,1,679,0.83,0,0,30,205
3,0.9,642.5,1.53,10.969,4.735,2,198.6
3,0.9,999.7,1.72,10.193,4.335,2,157.1
3,0.9,884.6,1.53,10.081,3.52,2,229
3,0.9,928.2,1.53,10.454,2.492,2,302.2
3,0.9,642.5,1.53,10.969,4.735,3,190
3,0.9,999.7,1.72,10.193,4.335,3,149.3
3,0.9,884.6,1.53,10.081,3.52,3,220.8
3,0.9,928.2,1.53,10.454,2.492,3,279.4
3,0.9,642.5,1.53,10.969,4.735,5,182.8
3,0.9,999.7,1.72,10.193,4.335,5,137.7
3,0.9,884.6,1.53,10.081,3.52,5,211.4
3,0.9,928.2,1.53,10.454,2.492,5,257.2
3,0.9,642.5,1.53,10.969,4.735,10,172.1
3,0.9,999.7,1.72,10.193,4.335,10,118.3
3,0.9,884.6,1.53,10.081,3.52,10,200
3,0.9,928.2,1.53,10.454,2.492,10,247.8
3,0.9,282,1.1,0,0,2,81.5
3,0.9,282,1.1,0,0,3,77.7
3,0.9,282,1.1,0,0,5,74.2
3,0.9,282,1.1,0,0,10,71.5
2,1,773,2.95,0,3.6,0.5,142
2,1,1766,2.5,0,3.6,0.5,220
2,1,910,2.9,0,0,0.5,160
2,1,773,2.95,0,3.6,1,137
2,1,1766,2.5,0,3.6,1,215
2,1,910,2.9,0,0,1,156
2,1,773,2.95,0,3.6,2,131
2,1,1766,2.5,0,3.6,2,209
2,1,910,2.9,0,0,2,143
2,1,773,2.95,0,3.6,4,111
2,1,1766,2.5,0,3.6,4,195
2,1,910,2.9,0,0,4,123
2,1,773,2.95,0,3.6,6,99
2,1,1766,2.5,0,3.6,6,194
2,1,910,2.9,0,0,6,111
2,1,773,2.95,0,3.6,8,87
2,1,1766,2.5,0,3.6,8,188
2,1,910,2.9,0,0,8,102
2,1,773,2.95,0,3.6,10,84
2,1,1766,2.5,0,3.6,10,187
2,1,910,2.9,0,0,10,100
2,1,773,2.95,0,3.6,20,72
2,1,1766,2.5,0,3.6,20,158
2,1,910,2.9,0,0,20,88
2,1,1460,0.96,0,0,0.1,160
3,1,951.7,1.64,0,0,0.5,123
3,1,1379.4,1.91,0,0,0.5,139
3,1,1636.2,1.92,0,0,0.5,148
3,1,1748.2,1.93,0,0,0.5,177
3,1,2006.9,1.95,0,0,0.5,200
3,1,2178.2,1.97,0,0,0.5,222
3,1,951.7,1.64,0,0,5,112
3,1,1379.4,1.91,0,0,5,125
3,1,1636.2,1.92,0,0,5,134
3,1,1748.2,1.93,0,0,5,156
3,1,2006.9,1.95,0,0,5,175
3,1,2178.2,1.97,0,0,5,210
3,1,951.7,1.64,0,0,20,96
3,1,1379.4,1.91,0,0,20,114
3,1,1636.2,1.92,0,0,20,124
3,1,1748.2,1.93,0,0,20,136
3,1,2006.9,1.95,0,0,20,160
3,1,2178.2,1.97,0,0,20,195
3,1,2548.6,0.96,0,0,0.5,239
3,1,2548.6,0.96,0,0,1,226.1
3,1,2548.6,0.96,0,0,2,217.3
3,1,2548.6,0.96,0,0,3,206.5
3,1,2548.6,0.96,0,0,5,199
3,1,2548.6,0.96,0,0,8,196.4
2,2.7,1549,0.86,0,8.5,0.2,115
2,2.7,1007,0.85,0,7.3,0.2,38
2,2.7,648,0.83,0,0,0.2,1.9
2,2.7,1549,0.86,0,8.5,5,89
2,2.7,1007,0.85,0,7.3,5,6
2,2.7,648,0.83,0,0,5,2
2,2.7,1549,0.86,0,8.5,10,72
2,2.7,1007,0.85,0,7.3,10,1
2,2.7,648,0.83,0,0,10,1
2,2.7,1549,0.86,0,8.5,20,58
2,0.9,1549,0.86,0,8.5,0.2,175.2
2,0.9,1007,0.85,0,7.3,0.2,147.2
2,0.9,648,0.83,0,0,0.2,174.4
2,0.9,1549,0.86,0,8.5,1,154
2,0.9,1007,0.85,0,7.3,1,144
2,0.9,648,0.83,0,0,1,162
2,0.9,1549,0.86,0,8.5,5,141
2,0.9,1007,0.85,0,7.3,5,128
2,0.9,1549,0.86,0,8.5,10,136
2,0.9,1007,0.85,0,7.3,10,121
2,0.9,648,0.83,0,0,10,118
2,0.9,1549,0.86,0,8.5,20,12
2,0.9,1007,0.85,0,7.3,20,104
2,0.9,648,0.83,0,0,20,84
2,0.9,1549,0.86,0,8.5,50,91
2,0.9,1007,0.85,0,7.3,50,68
2,0.9,648,0.83,0,0,50,33
3,0.9,943,1.15,2.06,23.32,1,232
3,0.9,1177,1.27,1.88,21.89,1,267
3,0.9,1733,1.38,1.64,18.98,1,304
3,0.9,1841,1.78,1.39,17.14,1,187
3,0.9,1554,2.35,1.09,15.24,1,204
3,0.9,943,1.15,2.06,23.32,2,224
3,0.9,1177,1.27,1.88,21.89,2,249
3,0.9,1733,1.38,1.64,18.98,2,293
3,0.9,1841,1.78,1.39,17.14,2,177
3,0.9,1554,2.35,1.09,15.24,2,199
3,0.9,943,1.15,2.06,23.32,3,215
3,0.9,1177,1.27,1.88,21.89,3,236
3,0.9,1733,1.38,1.64,18.98,3,282
3,0.9,1841,1.78,1.39,17.14,3,165
3,0.9,1554,2.35,1.09,15.24,3,188
3,0.9,943,1.15,2.06,23.32,5,210
3,0.9,1177,1.27,1.88,21.89,5,225
3,0.9,1733,1.38,1.64,18.98,5,261
3,0.9,1841,1.78,1.39,17.14,5,147
3,0.9,1554,2.35,1.09,15.24,5,169
3,0.9,943,1.15,2.06,23.32,10,189
3,0.9,1177,1.27,1.88,21.89,10,201
3,0.9,1733,1.38,1.64,18.98,10,211
3,0.9,1841,1.78,1.39,17.14,10,106
3,0.9,1554,2.35,1.09,15.24,10,128
3,0.9,943,1.15,2.06,23.32,20,162
3,0.9,1177,1.27,1.88,21.89,20,176
3,0.9,1733,1.38,1.64,18.98,20,202
3,0.9,1841,1.78,1.39,17.14,20,85
3,0.9,1554,2.35,1.09,15.24,20,102
3,0.9,943,1.15,2.06,23.32,30,140
3,0.9,1177,1.27,1.88,21.89,30,157
3,0.9,1733,1.38,1.64,18.98,30,191
3,0.9,1841,1.78,1.39,17.14,30,72
3,0.9,1554,2.35,1.09,15.24,30,84
3,0.9,1733,1.38,1.64,18.98,50,183
2,1,1733,1.38,1.64,18.98,1,72
2,1,1733,1.38,1.64,18.98,10,44.3
2,1,1733,1.38,1.64,18.98,20,42
2,3,1733,1.38,1.64,18.98,1,51.5
2,3,1733,1.38,1.64,18.98,10,33.8
3,1,2502,0.94,6.3,9.2,0.1,341
3,1,1349,0.91,9,8.5,0.1,190
3,1,2360,0.88,8.5,8,0.1,260
3,1,2502,0.94,6.3,9.2,1,328
3,1,1349,0.91,9,8.5,1,165
3,1,2360,0.88,8.5,8,1,249
3,1,2502,0.94,6.3,9.2,5,298
3,1,1349,0.91,9,8.5,5,146
3,1,2360,0.88,8.5,8,5,234
3,1,2502,0.94,6.3,9.2,10,280
3,1,1349,0.91,9,8.5,10,137
3,1,2360,0.88,8.5,8,10,220
3,1,2502,0.94,6.3,9.2,20,267
3,1,1349,0.91,9,8.5,20,133
3,1,2360,0.88,8.5,8,20,209
3,1,2502,0.94,6.3,9.2,30,260
3,1,1349,0.91,9,8.5,30,131
3,1,2360,0.88,8.5,8,30,193
3,1,2502,0.94,6.3,9.2,40,252
3,1,1349,0.91,9,8.5,40,128
3,1,2360,0.88,8.5,8,40,178
3,1,2502,0.94,6.3,9.2,50,244
3,1,1349,0.91,9,8.5,50,125
3,1,2360,0.88,8.5,8,50,163
2,1,2502,0.94,6.3,9.2,1,314
2,1,1349,0.91,9,8.5,1,164
2,1,2360,0.88,8.5,8,1,184
2,1,2502,0.94,6.3,9.2,5,279
2,1,1349,0.91,9,8.5,5,156
2,1,2360,0.88,8.5,8,5,176
2,1,2502,0.94,6.3,9.2,10,261
2,1,1349,0.91,9,8.5,10,148
2,1,2360,0.88,8.5,8,10,159
2,1,2502,0.94,6.3,9.2,20,245
2,1,1349,0.91,9,8.5,20,142
2,1,2360,0.88,8.5,8,20,133
2,1,2502,0.94,6.3,9.2,30,220
2,1,1349,0.91,9,8.5,30,128
2,1,2360,0.88,8.5,8,30,108
2,1,2502,0.94,6.3,9.2,50,188
2,1,1349,0.91,9,8.5,50,107
2,1,2360,0.88,8.5,8,50,87
3,1.2,543.68,0.89,1.2,8.5,0.5,221
3,1.2,7.91,0.68,0.6,1.9,0.5,2.1
2,1,543.68,0.89,1.2,8.5,2,204
2,1,7.91,0.68,0.6,1.9,2,2.6
